Dia de Data Registro Vacina;Dose;Contagem de Dose
25 de agosto de 2021;1° DOSE;74899
24 de agosto de 2021;1° DOSE;151191
23 de agosto de 2021;1° DOSE;256597
22 de agosto de 2021;1° DOSE;174319
21 de agosto de 2021;1° DOSE;261022
20 de agosto de 2021;1° DOSE;244075
19 de agosto de 2021;1° DOSE;214736
18 de agosto de 2021;1° DOSE;270228
17 de agosto de 2021;1° DOSE;316763
16 de agosto de 2021;1° DOSE;324373
15 de agosto de 2021;1° DOSE;243790
14 de agosto de 2021;1° DOSE;431281
13 de agosto de 2021;1° DOSE;452036
12 de agosto de 2021;1° DOSE;449315
11 de agosto de 2021;1° DOSE;415309
10 de agosto de 2021;1° DOSE;420201
9 de agosto de 2021;1° DOSE;264009
8 de agosto de 2021;1° DOSE;20020
7 de agosto de 2021;1° DOSE;163171
6 de agosto de 2021;1° DOSE;347723
5 de agosto de 2021;1° DOSE;361580
4 de agosto de 2021;1° DOSE;351663
3 de agosto de 2021;1° DOSE;312138
2 de agosto de 2021;1° DOSE;272408
1 de agosto de 2021;1° DOSE;16655
31 de julho de 2021;1° DOSE;170647
30 de julho de 2021;1° DOSE;307508
29 de julho de 2021;1° DOSE;223026
28 de julho de 2021;1° DOSE;211208
27 de julho de 2021;1° DOSE;313622
26 de julho de 2021;1° DOSE;283107
25 de julho de 2021;1° DOSE;24600
24 de julho de 2021;1° DOSE;195697
23 de julho de 2021;1° DOSE;376223
22 de julho de 2021;1° DOSE;358098
21 de julho de 2021;1° DOSE;380130
20 de julho de 2021;1° DOSE;380421
19 de julho de 2021;1° DOSE;383253
18 de julho de 2021;1° DOSE;42217
17 de julho de 2021;1° DOSE;312861
16 de julho de 2021;1° DOSE;338679
15 de julho de 2021;1° DOSE;312738
14 de julho de 2021;1° DOSE;196769
13 de julho de 2021;1° DOSE;210734
12 de julho de 2021;1° DOSE;274220
11 de julho de 2021;1° DOSE;13312
10 de julho de 2021;1° DOSE;74514
9 de julho de 2021;1° DOSE;245814
8 de julho de 2021;1° DOSE;301028
7 de julho de 2021;1° DOSE;264379
6 de julho de 2021;1° DOSE;267259
5 de julho de 2021;1° DOSE;323360
4 de julho de 2021;1° DOSE;17888
3 de julho de 2021;1° DOSE;155759
2 de julho de 2021;1° DOSE;311847
1 de julho de 2021;1° DOSE;332291
30 de junho de 2021;1° DOSE;390845
29 de junho de 2021;1° DOSE;382370
28 de junho de 2021;1° DOSE;287827
27 de junho de 2021;1° DOSE;35084
26 de junho de 2021;1° DOSE;301072
25 de junho de 2021;1° DOSE;408230
24 de junho de 2021;1° DOSE;410081
23 de junho de 2021;1° DOSE;422933
22 de junho de 2021;1° DOSE;331198
21 de junho de 2021;1° DOSE;337778
20 de junho de 2021;1° DOSE;42864
19 de junho de 2021;1° DOSE;406027
18 de junho de 2021;1° DOSE;434387
17 de junho de 2021;1° DOSE;468712
16 de junho de 2021;1° DOSE;404014
15 de junho de 2021;1° DOSE;283551
14 de junho de 2021;1° DOSE;252312
13 de junho de 2021;1° DOSE;16791
12 de junho de 2021;1° DOSE;154573
11 de junho de 2021;1° DOSE;247331
10 de junho de 2021;1° DOSE;190394
9 de junho de 2021;1° DOSE;177116
8 de junho de 2021;1° DOSE;168034
7 de junho de 2021;1° DOSE;169507
6 de junho de 2021;1° DOSE;10544
5 de junho de 2021;1° DOSE;91491
4 de junho de 2021;1° DOSE;131931
3 de junho de 2021;1° DOSE;113358
2 de junho de 2021;1° DOSE;214501
1 de junho de 2021;1° DOSE;150201
31 de maio de 2021;1° DOSE;151886
30 de maio de 2021;1° DOSE;14364
29 de maio de 2021;1° DOSE;113554
28 de maio de 2021;1° DOSE;199194
27 de maio de 2021;1° DOSE;134166
26 de maio de 2021;1° DOSE;137122
25 de maio de 2021;1° DOSE;147435
24 de maio de 2021;1° DOSE;146590
23 de maio de 2021;1° DOSE;17643
22 de maio de 2021;1° DOSE;91813
21 de maio de 2021;1° DOSE;196264
20 de maio de 2021;1° DOSE;137144
19 de maio de 2021;1° DOSE;147239
18 de maio de 2021;1° DOSE;212248
17 de maio de 2021;1° DOSE;74398
16 de maio de 2021;1° DOSE;81972
15 de maio de 2021;1° DOSE;121721
14 de maio de 2021;1° DOSE;201105
13 de maio de 2021;1° DOSE;151827
12 de maio de 2021;1° DOSE;182444
11 de maio de 2021;1° DOSE;117176
10 de maio de 2021;1° DOSE;107461
9 de maio de 2021;1° DOSE;11472
8 de maio de 2021;1° DOSE;127818
7 de maio de 2021;1° DOSE;252310
6 de maio de 2021;1° DOSE;260949
5 de maio de 2021;1° DOSE;156315
4 de maio de 2021;1° DOSE;126833
3 de maio de 2021;1° DOSE;80942
2 de maio de 2021;1° DOSE;8437
1 de maio de 2021;1° DOSE;28487
30 de abril de 2021;1° DOSE;108799
29 de abril de 2021;1° DOSE;154969
28 de abril de 2021;1° DOSE;104269
27 de abril de 2021;1° DOSE;95347
26 de abril de 2021;1° DOSE;114513
25 de abril de 2021;1° DOSE;12183
24 de abril de 2021;1° DOSE;64590
23 de abril de 2021;1° DOSE;185366
22 de abril de 2021;1° DOSE;140550
21 de abril de 2021;1° DOSE;209004
20 de abril de 2021;1° DOSE;120101
19 de abril de 2021;1° DOSE;70590
18 de abril de 2021;1° DOSE;14503
17 de abril de 2021;1° DOSE;35630
16 de abril de 2021;1° DOSE;65875
15 de abril de 2021;1° DOSE;89129
14 de abril de 2021;1° DOSE;122272
13 de abril de 2021;1° DOSE;134350
12 de abril de 2021;1° DOSE;145716
11 de abril de 2021;1° DOSE;11890
10 de abril de 2021;1° DOSE;67684
9 de abril de 2021;1° DOSE;43160
